date,passengers
110年5月11日,2019135
110年5月12日,1891934
110年5月13日,1751033
110年5月14日,1737951
110年5月15日,588685
110年5月16日,320294
110年5月17日,837421
110年5月18日,643420
110年5月19日,598072
110年5月20日,568930
110年5月21日,555302
110年5月22日,202367
110年5月23日,152420
110年5月24日,513333
110年5月25日,497708
110年5月26日,488398
110年5月27日,480646
110年5月28日,492928
110年5月29日,202824
110年5月30日,149936
110年5月31日,511889
110年6月01日,500288
110年6月02日,494777
110年6月03日,484678
110年6月04日,486953
110年6月05日,207152
110年6月06日,160534
110年6月07日,501708
110年6月08日,495035
110年6月09日,492350
110年6月10日,497695
110年6月11日,505716
110年6月12日,219476
110年6月13日,168154
110年6月14日,176735
110年6月15日,535605
110年6月16日,531135
110年6月17日,528656
110年6月18日,544194
110年6月19日,250790
110年6月20日,191678
110年6月21日,552144
110年6月22日,562478
110年6月23日,567028
110年6月24日,562938
110年6月25日,589960
110年6月26日,278770
110年6月27日,213596
110年6月28日,593366
110年6月29日,606268
110年6月30日,620065
110年7月01日,615990
110年7月02日,631443
110年7月03日,295902
110年7月04日,224054
110年7月05日,641035
110年7月06日,640142
110年7月07日,647747
110年7月08日,647858
110年7月09日,671768
110年7月10日,331244
110年7月11日,254016
110年7月12日,688981
110年7月13日,723371
110年7月14日,741813
110年7月15日,738470
110年7月16日,748416
110年7月17日,376218
110年7月18日,296763
110年7月19日,756237
110年7月20日,771749
110年7月21日,773111
110年7月22日,740669
110年7月23日,709428
110年7月24日,316242
110年7月25日,329570
110年7月26日,817097
110年7月27日,915060
110年7月28日,921029
110年7月29日,917412
110年7月30日,956520
110年7月31日,486966
110年8月01日,416836
110年8月02日,1005337
110年8月03日,1049830
110年8月04日,1074185
110年8月05日,1071885
110年8月06日,1094334
110年8月07日,520681
110年8月08日,510030
110年8月09日,1102459
110年8月10日,1152521
110年8月11日,1159820
110年8月12日,1158760
110年8月13日,1192086
110年8月14日,743676
110年8月15日,606891
110年8月16日,1181804
110年8月17日,1213496
110年8月18日,1212028
110年8月19日,1195594
110年8月20日,1256246
110年8月21日,751355
110年8月22日,628225
110年8月23日,1216676
110年8月24日,1250906
110年8月25日,1279755
110年8月26日,1296331
110年8月27日,1352408
110年8月28日,870701
110年8月29日,724860
110年8月30日,1295998
110年8月31日,1323833
110年9月01日,1438550
110年9月02日,1440604
110年9月03日,1505296
110年9月04日,875707
110年9月05日,742234
110年9月06日,1415518
110年9月07日,1440957
110年9月08日,1424984
110年9月09日,1382856
110年9月10日,1393492
110年9月11日,1113630
110年9月12日,223579
110年9月13日,1392218
110年9月14日,1446935
110年9月15日,1471826
110年9月16日,1477415
110年9月17日,1557394
110年9月18日,896966
110年9月19日,789099
110年9月20日,835284
110年9月21日,732483
110年9月22日,1459954
110年9月23日,1472261
110年9月24日,1568222
110年9月25日,1033938
110年9月26日,866375
110年9月27日,1477877
110年9月28日,1507236
110年9月29日,1517404
110年9月30日,1517408
110年10月01日,1607743
110年10月02日,1121631
110年10月03日,933101
110年10月04日,1556027
110年10月05日,1597996
110年10月06日,1643156
110年10月07日,1667354
110年10月08日,1818921
110年10月09日,1274195
110年10月10日,1174320
110年10月11日,869120
110年10月12日,1706670
110年10月13日,1774824
110年10月14日,1765101
110年10月15日,1918224
110年10月16日,1431681
110年10月17日,1132741
110年10月18日,1727324
110年10月19日,1755862
110年10月20日,1791389
110年10月21日,1815491
110年10月22日,1984047
110年10月23日,1394439
110年10月24日,1066816
110年10月25日,1769591
110年10月26日,1794519
110年10月27日,1822945
110年10月28日,1829086
110年10月29日,1976938
110年10月30日,1454347
110年10月31日,1215843
110年11月01日,1758787
110年11月02日,1804684
110年11月03日,1836387
110年11月04日,1847293
110年11月05日,2052748
110年11月06日,1532402
110年11月07日,1280779
110年11月08日,1815072
110年11月09日,1847954
110年11月10日,1883778
110年11月11日,1934224
110年11月12日,2080322
110年11月13日,1540766
110年11月14日,1306487
110年11月15日,1833303
110年11月16日,1892792
110年11月17日,1912198
110年11月18日,1923147
110年11月19日,2125947
110年11月20日,1632054
110年11月21日,1406877
110年11月22日,1881783
110年11月23日,1893208
110年11月24日,1924017
110年11月25日,1945915
110年11月26日,2132913
110年11月27日,1549829
110年11月28日,1323350
110年11月29日,1890012
110年11月30日,1905703
110年12月01日,1928445
110年12月02日,1953142
110年12月03日,2171493
110年12月04日,1816601
110年12月05日,1441715
110年12月06日,1904281
110年12月07日,1937026
110年12月08日,1997502
110年12月09日,2007942
110年12月10日,2186908
110年12月11日,1892347
110年12月12日,1439099
110年12月13日,1917866
110年12月14日,1960860
110年12月15日,2041486
110年12月16日,2051016
110年12月17日,2255271
110年12月18日,1784316
110年12月19日,1602085
110年12月20日,1932935
110年12月21日,1988517
110年12月22日,2044768
110年12月23日,2048380
110年12月24日,2271326
110年12月25日,1867251
110年12月26日,1445259
110年12月27日,1942822
110年12月28日,1998692
110年12月29日,2041534
110年12月30日,2151462
110年12月31日,2022261
111年1月01日,1424853
111年1月02日,1234896
111年1月03日,1848914
111年1月04日,1899097
111年1月05日,1934621
111年1月06日,1954365
111年1月07日,2103575
111年1月08日,1527434
111年1月09日,1223178
111年1月10日,1863377
111年1月11日,1899867
111年1月12日,1893172
111年1月13日,1889064
111年1月14日,2024999
111年1月15日,1381653
111年1月16日,1144323
111年1月17日,1786422
111年1月18日,1803422
111年1月19日,1838325
111年1月20日,1912578
111年1月21日,1851246
111年1月22日,1608952
111年1月23日,1072477
111年1月24日,1688345
111年1月25日,1713693
111年1月26日,1710690
111年1月27日,1693007
111年1月28日,1673525
111年1月29日,981204
111年1月30日,733248
111年1月31日,525312
111年2月01日,596235
111年2月02日,725970
111年2月03日,661619
111年2月04日,882640
111年2月05日,1023183
111年2月06日,1009891
111年2月07日,1621844
111年2月08日,1657172
111年2月09日,1666971
111年2月10日,1708819
111年2月11日,1876063
111年2月12日,1413789
111年2月13日,1208059
